stop_id,stop_name,zone_id,stop_lat,stop_lon
58119,Gudur Gate,Gudur Gate,17.092283,78.474478
58120,Thummaloor,Thummaloor,17.132573,78.477691
58121,Lemur X Roads,Lemur X Roads,17.163939,78.477048
58122,Maheshwaram Gate,Maheshwaram Gate,17.178878,78.473666
58123,Imamguda-Mhrm,Imamguda-Mhrm,17.192,78.475
58124,Tukkuguda,Tukkuguda,17.209459,78.476682
58125,Sheep Farm,Sheep Farm,17.247169,78.473612
58126,Pahadi Shareef,Pahadi Shareef,17.270962,78.474143
58127,Jalpally X Rd,Jalpally X Rd,17.283371,78.471601
58128,Sadat Nagar,Sadat Nagar,17.292424,78.47368
58129,Jangareddy Pally-Amangal,Jangareddy Pally-Amangal,16.848966,78.556902
58130,Akuthotapalle,Akuthotapalle,16.870966,78.601084
58131,Aurpally,Aurpally,16.864943,78.616201
58132,Nalluripally,Nalluripally,16.850394,78.624634
58133,Nalluripally,Nalluripally,16.847,78.626
58134,Akuthotapalle,Akuthotapalle,16.870898,78.601223
58135,Madannapet,Madannapet,17.358047,78.505147
58136,Sardar Nagar,Sardar Nagar,17.231873,78.473582
58137,Hayathnagar Bus Depot,Hayathnagar Bus Depot,17.325424,78.593402
58138,Panama Godowns,Panama Godowns,17.337315,78.569916
58139,Ganesh Temple-Vanastalipuram,Ganesh Temple-Vanastalipuram,17.331417,78.569354
58140,Red Tank,Red Tank,17.32905,78.569024
58141,Govt Hospital-Bn Reddy Nagar,Govt Hospital-Bn Reddy Nagar,17.329326,78.565885
58142,Ngo'S Colony Bus Stop,Ngo'S Colony Bus Stop,17.324912,78.566494
58143,Govt Hospital-Bn Reddy Nagar,Govt Hospital-Bn Reddy Nagar,17.329362,78.565852
58144,Red Tank,Red Tank,17.32916,78.569005
58145,Ganesh Temple-Vanastalipuram,Ganesh Temple-Vanastalipuram,17.331242,78.569187
58146,Vaidehi Nagar,Vaidehi Nagar,17.321179,78.565196
58147,Vaidehi Nagar,Vaidehi Nagar,17.321079,78.569552
58148,Shiva Sindhu Public School,Shiva Sindhu Public School,17.321245,78.572196
58149,Gouthami Nagar-Hayathnagar,Gouthami Nagar-Hayathnagar,17.324932,78.571775
58150,Raithu Bazar-Vsp,Raithu Bazar-Vsp,17.330499,78.575157
58151,Vanasthalipuram Complex,Vanasthalipuram Complex,17.330719,78.572966
58152,Panama Godowns,Panama Godowns,17.337969,78.569882
58153,Jana Priya Apartment-Erragadda,Jana Priya Apartment-Erragadda,17.457023,78.428674
58154,Jana Priya Apartment-Erragadda,Jana Priya Apartment-Erragadda,17.457141,78.428649
58155,Rajeev Gandhi Nagar/Sai Nagar Bus Stop,Rajeev Gandhi Nagar/Sai Nagar Bus Stop,17.359919,78.557588
58156,Rajeev Gandhi Nagar/Sai Nagar Bus Stop,Rajeev Gandhi Nagar/Sai Nagar Bus Stop,17.359659,78.557814
58157,Iiit,Iiit,17.444325,78.351854
58158,Infosys,Infosys,17.437043,78.347696
58159,Wipro Circle,Wipro Circle,17.427624,78.341786
58160,Icici Junction,Icici Junction,17.421818,78.338049
58161,Infotech,Infotech,17.420333,78.33709
58162,Waverock,Waverock,17.419155,78.347272
58163,Ganesh Temple-Vanasthalipuram,Ganesh Temple-Vanasthalipuram,17.331802,78.569249
58164,Vanasthalipuram,Vanasthalipuram,17.331361,78.572897
58165,Raithu Bazar-Vsp,Raithu Bazar-Vsp,17.330605,78.575624
58166,Kamala Nagar-Vanasthalipuram,Kamala Nagar-Vanasthalipuram,17.329893,78.578941
58167,Subhadra Nagar,Subhadra Nagar,17.328913,78.583341
58168,Sharada Nagar-Hayathnagar,Sharada Nagar-Hayathnagar,17.329456,78.585632
58169,Shanthi Nagar-Vanastalipuram,Shanthi Nagar-Vanastalipuram,17.328206,78.587539
58170,Narsimharao Nagar-Hayathnagar,Narsimharao Nagar-Hayathnagar,17.325108,78.587221
58171,Sama Nagar,Sama Nagar,17.322198,78.589379
58172,Sai Baba Temple-Rk Nagar,Sai Baba Temple-Rk Nagar,17.321931,78.592908
58173,Sai Nagar Colony-Hayathnagar,Sai Nagar Colony-Hayathnagar,17.318009,78.592758
58174,Mudhiraj Colony-Hayathnagar,Mudhiraj Colony-Hayathnagar,17.317544,78.592903
58175,Sai Nagar Colony-Hayathnagar,Sai Nagar Colony-Hayathnagar,17.317737,78.592868
58176,Sai Baba Temple-Rk Nagar,Sai Baba Temple-Rk Nagar,17.322031,78.592871
58177,Sama Nagar,Sama Nagar,17.322314,78.58918
58178,Narsimharao Nagar-Hayathnagar,Narsimharao Nagar-Hayathnagar,17.325164,78.587199
58179,Sharada Nagar-Hayathnagar,Sharada Nagar-Hayathnagar,17.328195,78.585076
58180,Subhadra Nagar,Subhadra Nagar,17.32883,78.583419
58181,Kamala Nagar-Vanasthalipuram,Kamala Nagar-Vanasthalipuram,17.329826,78.579036
58182,Raithu Bazar-Vsp,Raithu Bazar-Vsp,17.3303,78.5755
58183,Gouthami Nagar-Hayathnagar,Gouthami Nagar-Hayathnagar,17.324871,78.57188
58184,Saheb Nagar Kalan,Saheb Nagar Kalan,17.321673,78.575989
58185,Saheb Nagar Kalan,Saheb Nagar Kalan,17.321621,78.575968
58186,Infotech,Infotech,17.420328,78.336991
58187,Icici Junction,Icici Junction,17.422299,78.338208
58188,Wipro Circle,Wipro Circle,17.426194,78.340652
58189,Infosys,Infosys,17.437412,78.347575
58190,Paradise,Paradise,17.445048,78.487063
58191,Cto,Cto,17.450395,78.486661
58192,Race Course-Sec Bad,Race Course-Sec Bad,17.451307,78.48622
58193,Tadbund,Tadbund,17.456463,78.484263
58194,Ashish Garden Bus Stop,Ashish Garden Bus Stop,17.457559,78.478017
58195,Bowenpally,Bowenpally,17.46519,78.472662
58196,Bowenpally Checkpost,Bowenpally Checkpost,17.475877,78.473711
58197,Nandamuri Nagar,Nandamuri Nagar,17.480132,78.472971
58198,Dairy Farm-Bowinpally,Dairy Farm-Bowinpally,17.487331,78.473372
58199,Balaji Hospital Kompalli,Balaji Hospital Kompalli,17.51858,78.481627
58200,Prajaya Aprts - Kompally,Prajaya Aprts - Kompally,17.531881,78.488056
58201,Kirloskar,Kirloskar,17.60083,78.492036
58202,Kirloskar,Kirloskar,17.600908,78.492216
58203,Prestige Park Gundlapochampally,Prestige Park Gundlapochampally,17.576678,78.491757
58204,Ncl North Avenue,Ncl North Avenue,17.525985,78.484684
58205,Balaji Hospital Kompalli,Balaji Hospital Kompalli,17.518792,78.481977
58206,Angadipet,Angadipet,17.513801,78.479805
58207,Dairy Farm-Bowinpally,Dairy Farm-Bowinpally,17.486814,78.473437
58208,Nandamuri Nagar,Nandamuri Nagar,17.480147,78.473539
58209,Bowenpally Checkpost,Bowenpally Checkpost,17.475889,78.473915
58210,Bowenpally,Bowenpally,17.465177,78.472888
58211,Ashish Garden Bus Stop,Ashish Garden Bus Stop,17.457236,78.478453
58212,Tadbund,Tadbund,17.456487,78.483953
58213,Cto,Cto,17.450473,78.486891
58214,Paradise,Paradise,17.443503,78.488141
58215,Patny,Patny,17.443247,78.4949
58216,Ymca Secunderabad,Ymca Secunderabad,17.441944,78.498779
58217,Sathsang,Sathsang,17.330028,78.28012
58218,Ayaan College,Ayaan College,17.31438,78.256697
58219,Kanakamamidi,Kanakamamidi,17.313231,78.248918
58220,Kethireddy Pally X Road,Kethireddy Pally X Road,17.310191,78.228892
58221,Appareddyguda X Road,Appareddyguda X Road,17.310196,78.223764
58222,Tholkatta X Roads,Tholkatta X Roads,17.313456,78.216919
58223,Mudimyal,Mudimyal,17.31948,78.208958
58224,Kandawada X Road,Kandawada X Road,17.307182,78.182375
58225,Malkapur Chevella,Malkapur Chevella,17.312,78.172
58226,Kesavaram-Chevella,Kesavaram-Chevella,17.306384,78.16101
58227,Chevella Bus Station,Chevella Bus Station,17.313487,78.138914
58228,Kesavaram-Chevella,Kesavaram-Chevella,17.306547,78.161081
58229,Malkapur Chevella,Malkapur Chevella,17.312283,78.171973
58230,Kandawada X Road,Kandawada X Road,17.307251,78.182414
58231,Mudimyal,Mudimyal,17.319624,78.209087
58232,Kethireddy Pally X Road,Kethireddy Pally X Road,17.31026,78.229018
58233,Kanakamamidi,Kanakamamidi,17.313248,78.248792
58234,Ayaan College,Ayaan College,17.314663,78.256764
58235,Sathsang,Sathsang,17.330243,78.280147
58236,Pc Tanda,Pc Tanda,17.537118,78.24303
58237,Vivekananda Nagar Clny,Vivekananda Nagar Clny,17.493608,78.41058
58238,Sumithra Nagar-Kukatpally,Sumithra Nagar-Kukatpally,17.489,78.409
58239,Chadarghat,Chadarghat,17.382279,78.493569
58240,Gnit,Gnit,17.161952,78.660833
58241,Khanapur X Roads,Khanapur X Roads,17.17523,78.654588
58242,Bhagyalatha (Arunodaya),Bhagyalatha (Arunodaya),17.332317,78.589126
58243,Lingoji Guda-Choutuppal,Lingoji Guda-Choutuppal,17.244253,78.926814
58244,Ankireddigudem,Ankireddigudem,17.242245,78.933673
58245,Panthangi,Panthangi,17.245775,78.958228
58246,Panthangi,Panthangi,17.245678,78.958193
58247,Ankireddigudem,Ankireddigudem,17.242099,78.933635
58248,Lingoji Guda-Choutuppal,Lingoji Guda-Choutuppal,17.243832,78.926731
58249,Shiva Sindhu Public School,Shiva Sindhu Public School,17.321277,78.572261
58250,Vaidehi Nagar,Vaidehi Nagar,17.321266,78.565271
58251,Tippu Khan Bridge,Tippu Khan Bridge,17.373394,78.404403
58252,Ramdev Guda,Ramdev Guda,17.375237,78.39604
58253,Age Bar,Age Bar,17.376564,78.385818
58254,Ibrahim Bagh,Ibrahim Bagh,17.376715,78.381918
58255,Taramathi,Taramathi,17.376789,78.378914
58256,Neknapur,Neknapur,17.378945,78.369915
58257,Hanuman Temple-Neknapur,Hanuman Temple-Neknapur,17.381,78.367
