route_id,route_long_name,agency_id,route_type,route_short_name
9752,ECIL RT NO 4,TGSRTC,3,ECIL RT NO
9753,100V,TGSRTC,3,100V
9754,1Z/251,TGSRTC,3,1Z/251
9755,100L,TGSRTC,3,100L
9756,94R/M,TGSRTC,3,94R/M
9757,203K,TGSRTC,3,203K
9758,94R,TGSRTC,3,94R
9759,9K,TGSRTC,3,9K
9760,86J,TGSRTC,3,86J
9761,86A,TGSRTC,3,86A
9762,86K,TGSRTC,3,86K
9763,100M,TGSRTC,3,100M
9764,300/90,TGSRTC,3,300/90
9765,90N/U,TGSRTC,3,90N/U
9766,100B,TGSRTC,3,100B
9767,100G,TGSRTC,3,100G
9768,201G/D,TGSRTC,3,201G/D
9769,158F,TGSRTC,3,158F
9770,201Q,TGSRTC,3,201Q
9771,201Q/W,TGSRTC,3,201Q/W
9772,201G/N,TGSRTC,3,201G/N
9773,1M/D,TGSRTC,3,1M/D
9774,205,TGSRTC,3,205
9775,1D,TGSRTC,3,1D
9776,116G,TGSRTC,3,116G
9777,49M/251S,TGSRTC,3,49M/251S
9778,7Z/251S,TGSRTC,3,7Z/251S
9779,251S/92A,TGSRTC,3,251S/92A
9780,7Z,TGSRTC,3,7Z
9781,7Z/251,TGSRTC,3,7Z/251
9782,251/49M,TGSRTC,3,251/49M
9783,3DN,TGSRTC,3,3DN
9784,8A/75A,TGSRTC,3,8A/75A
9785,92R,TGSRTC,3,92R
9786,8A/67L,TGSRTC,3,8A/67L
9787,103,TGSRTC,3,103
9788,105/218,TGSRTC,3,105/218
9789,251/7Z,TGSRTC,3,251/7Z
9790,95K,TGSRTC,3,95K
9791,203A/102B,TGSRTC,3,203A/102B
9792,65M,TGSRTC,3,65M
9793,102/253C,TGSRTC,3,102/253C
9794,203L/W,TGSRTC,3,203L/W
9795,178G,TGSRTC,3,178G
9796,8A/178G,TGSRTC,3,8A/178G
9797,8A/85,TGSRTC,3,8A/85
9798,G2-HIRE SPECIAL,TGSRTC,3,G2-HIRE SP
9799,6RK,TGSRTC,3,6RK
9800,BEL5-HIRE SPECIAL,TGSRTC,3,BEL5-HIRE 
9801,203A/3K,TGSRTC,3,203A/3K
9802,277N,TGSRTC,3,277N
9803,83J/A,TGSRTC,3,83J/A
9804,95M,TGSRTC,3,95M
9805,95,TGSRTC,3,95
9806,1Z,TGSRTC,3,1Z
9807,203AK,TGSRTC,3,203AK
9808,156/505,TGSRTC,3,156/505
9809,156V/505,TGSRTC,3,156V/505
9810,218V,TGSRTC,3,218V
9811,279U,TGSRTC,3,279U
9812,5K/92R,TGSRTC,3,5K/92R
9813,102M,TGSRTC,3,102M
9814,203AK/102B,TGSRTC,3,203AK/102B
9815,206,TGSRTC,3,206
9816,464,TGSRTC,3,464
9817,8A/251,TGSRTC,3,8A/251
9818,412/277,TGSRTC,3,412/277
9819,277P,TGSRTC,3,277P
9820,277/412,TGSRTC,3,277/412
9821,205F,TGSRTC,3,205F
9822,486,TGSRTC,3,486
9823,85M,TGSRTC,3,85M
9824,532,TGSRTC,3,532
9825,443,TGSRTC,3,443
9826,277MP,TGSRTC,3,277MP
9827,463,TGSRTC,3,463
9828,72H/205,TGSRTC,3,72H/205
9829,72H/205J,TGSRTC,3,72H/205J
9830,72KH,TGSRTC,3,72KH
9831,203A/R,TGSRTC,3,203A/R
9832,72KH/205J,TGSRTC,3,72KH/205J
9833,525,TGSRTC,3,525
9834,299L,TGSRTC,3,299L
9835,488,TGSRTC,3,488
9836,253L,TGSRTC,3,253L
9837,253G,TGSRTC,3,253G
9838,208D,TGSRTC,3,208D
9839,290U/202T,TGSRTC,3,290U/202T
9840,290U/204,TGSRTC,3,290U/204
9841,439,TGSRTC,3,439
9842,5K/188A,TGSRTC,3,5K/188A
9843,188/251,TGSRTC,3,188/251
9844,277K,TGSRTC,3,277K
9845,277/440,TGSRTC,3,277/440
9846,440,TGSRTC,3,440
9847,277M,TGSRTC,3,277M
9848,85C,TGSRTC,3,85C
9849,290U/206,TGSRTC,3,290U/206
9850,462,TGSRTC,3,462
9851,G6-IG MINT,TGSRTC,3,G6-IG MINT
9852,250,TGSRTC,3,250
9853,90/250,TGSRTC,3,90/250
9854,290K,TGSRTC,3,290K
9855,290A/U,TGSRTC,3,290A/U
9856,7Z/95K,TGSRTC,3,7Z/95K
9857,142Y,TGSRTC,3,142Y
9858,444E,TGSRTC,3,444E
9859,290U/463,TGSRTC,3,290U/463
9860,7Z/92A,TGSRTC,3,7Z/92A
9861,288XR,TGSRTC,3,288XR
9862,288M,TGSRTC,3,288M
9863,463F,TGSRTC,3,463F
9864,118X,TGSRTC,3,118X
9865,92A/215,TGSRTC,3,92A/215
9866,49M/T/250,TGSRTC,3,49M/T/250
9867,469,TGSRTC,3,469
9868,72H/463,TGSRTC,3,72H/463
9869,485/277,TGSRTC,3,485/277
9870,277/485,TGSRTC,3,277/485
9871,431,TGSRTC,3,431
9872,431/277,TGSRTC,3,431/277
9873,592,TGSRTC,3,592
9874,G-8,TGSRTC,3,G-8
9875,203A/479,TGSRTC,3,203A/479
9876,49M/K/250,TGSRTC,3,49M/K/250
9877,288B,TGSRTC,3,288B
9878,461,TGSRTC,3,461
9879,405,TGSRTC,3,405
9880,288N/B,TGSRTC,3,288N/B
9881,288N,TGSRTC,3,288N
9882,412/277D,TGSRTC,3,412/277D
9883,252S,TGSRTC,3,252S
9884,8A/252S,TGSRTC,3,8A/252S
9885,277/443,TGSRTC,3,277/443
9886,49M/T,TGSRTC,3,49M/T
9887,455N,TGSRTC,3,455N
9888,537,TGSRTC,3,537
9889,288Y,TGSRTC,3,288Y
9890,455,TGSRTC,3,455
9891,220G/505T,TGSRTC,3,220G/505T
9892,416,TGSRTC,3,416
9893,277H,TGSRTC,3,277H
9894,593D,TGSRTC,3,593D
9895,434,TGSRTC,3,434
9896,288P,TGSRTC,3,288P
9897,540M,TGSRTC,3,540M
9898,540MA,TGSRTC,3,540MA
9899,422,TGSRTC,3,422
9900,288C,TGSRTC,3,288C
9901,446,TGSRTC,3,446
9902,188/251A,TGSRTC,3,188/251A
9903,7Z/251A,TGSRTC,3,7Z/251A
9904,407,TGSRTC,3,407
9905,407/277,TGSRTC,3,407/277
9906,102/277,TGSRTC,3,102/277
9907,410,TGSRTC,3,410
9908,427,TGSRTC,3,427
9909,202T,TGSRTC,3,202T
9910,290K/P,TGSRTC,3,290K/P
9911,205B,TGSRTC,3,205B
9912,290U/205B,TGSRTC,3,290U/205B
9913,5K/120K,TGSRTC,3,5K/120K
9914,288S,TGSRTC,3,288S
9915,220G,TGSRTC,3,220G
9916,406,TGSRTC,3,406
9917,204/277,TGSRTC,3,204/277
9918,8A/532,TGSRTC,3,8A/532
9919,404,TGSRTC,3,404
9920,204,TGSRTC,3,204
9921,290U/205T,TGSRTC,3,290U/205T
9922,300L/279K,TGSRTC,3,300L/279K
9923,205T,TGSRTC,3,205T
9924,405/277,TGSRTC,3,405/277
9925,277/405,TGSRTC,3,277/405
9926,445,TGSRTC,3,445
9927,120,TGSRTC,3,120
9928,RANE ENGINE,TGSRTC,3,RANE ENGIN
9929,142S,TGSRTC,3,142S
9930,G-9,TGSRTC,3,G-9
9931,5K/T,TGSRTC,3,5K/T
9932,444,TGSRTC,3,444
9933,120M,TGSRTC,3,120M
9934,444/288X,TGSRTC,3,444/288X
9935,220J,TGSRTC,3,220J
9936,288A,TGSRTC,3,288A
9937,277R,TGSRTC,3,277R
9938,MINT-2,TGSRTC,3,MINT-2
9939,HIRE SPECIAL,TGSRTC,3,HIRE SPECI
9940,290U/555,TGSRTC,3,290U/555
9941,277B,TGSRTC,3,277B
9942,277S,TGSRTC,3,277S
9943,277B/D,TGSRTC,3,277B/D
9944,BDL SPL,TGSRTC,3,BDL SPL
9945,439/277,TGSRTC,3,439/277
9946,401,TGSRTC,3,401
9947,443/277,TGSRTC,3,443/277
9948,413,TGSRTC,3,413
9949,277/413,TGSRTC,3,277/413
9950,413/277,TGSRTC,3,413/277
9951,482,TGSRTC,3,482
9952,482/277,TGSRTC,3,482/277
9953,478,TGSRTC,3,478
9954,277Y,TGSRTC,3,277Y
9955,277/431,TGSRTC,3,277/431
9956,436,TGSRTC,3,436
9957,422/277,TGSRTC,3,422/277
9958,421,TGSRTC,3,421
9959,434/277,TGSRTC,3,434/277
9960,277/434,TGSRTC,3,277/434
9961,277/415,TGSRTC,3,277/415
9962,415/277,TGSRTC,3,415/277
9963,201M/C,TGSRTC,3,201M/C
9964,430,TGSRTC,3,430
9965,291,TGSRTC,3,291
9966,126/300D,TGSRTC,3,126/300D
9967,90B,TGSRTC,3,90B
9968,253,TGSRTC,3,253
9969,527,TGSRTC,3,527
9970,253M,TGSRTC,3,253M
9971,251M/A,TGSRTC,3,251M/A
9972,452M/A,TGSRTC,3,452M/A
9973,253I,TGSRTC,3,253I
9974,253W,TGSRTC,3,253W
9975,460,TGSRTC,3,460
9976,458,TGSRTC,3,458
9977,530,TGSRTC,3,530
9978,436/277L,TGSRTC,3,436/277L
9979,277L/436,TGSRTC,3,277L/436
9980,1D/277D,TGSRTC,3,1D/277D
9981,93L,TGSRTC,3,93L
9982,93V,TGSRTC,3,93V
9983,277/401,TGSRTC,3,277/401
9984,452,TGSRTC,3,452
9985,459/277,TGSRTC,3,459/277
9986,116N/220K,TGSRTC,3,116N/220K
9987,535S,TGSRTC,3,535S
9988,432S,TGSRTC,3,432S
9989,300/452,TGSRTC,3,300/452
9990,477,TGSRTC,3,477
9991,300/477,TGSRTC,3,300/477
9992,72H/204,TGSRTC,3,72H/204
9993,451,TGSRTC,3,451
9994,528,TGSRTC,3,528
9995,85P/253S,TGSRTC,3,85P/253S
9996,406/277,TGSRTC,3,406/277
9997,253T,TGSRTC,3,253T
9998,471,TGSRTC,3,471
9999,472,TGSRTC,3,472
10000,473D,TGSRTC,3,473D
10001,535,TGSRTC,3,535
10002,300/253,TGSRTC,3,300/253
10003,203M/A,TGSRTC,3,203M/A
10004,452S,TGSRTC,3,452S
10005,540T,TGSRTC,3,540T
10006,188B/49M,TGSRTC,3,188B/49M
10007,188B,TGSRTC,3,188B
10008,188A/49M,TGSRTC,3,188A/49M
10009,49M/188B,TGSRTC,3,49M/188B
10010,468,TGSRTC,3,468
10011,137,TGSRTC,3,137
10012,116/220K,TGSRTC,3,116/220K
10013,254K,TGSRTC,3,254K
10014,116N,TGSRTC,3,116N
10015,536,TGSRTC,3,536
10016,251M,TGSRTC,3,251M
10017,455/251,TGSRTC,3,455/251
10018,251AK,TGSRTC,3,251AK
10019,250/300,TGSRTC,3,250/300
10020,92C/254K,TGSRTC,3,92C/254K
10021,116,TGSRTC,3,116
10022,252NP,TGSRTC,3,252NP
10023,92,TGSRTC,3,92
10024,3,TGSRTC,3,3
10025,127N,TGSRTC,3,127N
10026,100D,TGSRTC,3,100D
10027,71K/L,TGSRTC,3,71K/L
10028,216K/L,TGSRTC,3,216K/L
10029,447,TGSRTC,3,447
10030,290U/201T,TGSRTC,3,290U/201T
10031,201T,TGSRTC,3,201T
10032,1/458,TGSRTC,3,1/458
10033,7Z/539,TGSRTC,3,7Z/539
10034,539,TGSRTC,3,539
10035,539/452,TGSRTC,3,539/452
10036,1Z/539,TGSRTC,3,1Z/539
10037,8A/539,TGSRTC,3,8A/539
10038,7Z/452,TGSRTC,3,7Z/452
10039,5KD,TGSRTC,3,5KD
10040,158F/R,TGSRTC,3,158F/R
10041,1H/205F,TGSRTC,3,1H/205F
10042,187K,TGSRTC,3,187K
10043,85V,TGSRTC,3,85V
10044,127R/K,TGSRTC,3,127R/K
10045,127K/H,TGSRTC,3,127K/H
10046,1D/202U,TGSRTC,3,1D/202U
10047,251P,TGSRTC,3,251P
10048,95K/1Z,TGSRTC,3,95K/1Z
10049,92A/251V,TGSRTC,3,92A/251V
10050,90L/250,TGSRTC,3,90L/250
10051,410/277,TGSRTC,3,410/277
10052,218G,TGSRTC,3,218G
10053,277U,TGSRTC,3,277U
10054,455G,TGSRTC,3,455G
10055,127w,TGSRTC,3,127w
10056,113/127w,TGSRTC,3,113/127w
10057,223/19M,TGSRTC,3,223/19M
10058,251S,TGSRTC,3,251S
10059,156/205,TGSRTC,3,156/205
10060,156/205A,TGSRTC,3,156/205A
10061,156/205F,TGSRTC,3,156/205F
10062,100/299,TGSRTC,3,100/299
10063,201G/H,TGSRTC,3,201G/H
10064,3K/251,TGSRTC,3,3K/251
10065,453/450,TGSRTC,3,453/450
10066,251V,TGSRTC,3,251V
10067,156H/217,TGSRTC,3,156H/217
10068,186H,TGSRTC,3,186H
10069,290U/186,TGSRTC,3,290U/186
10070,186,TGSRTC,3,186
10071,90L/V,TGSRTC,3,90L/V
10072,95/251A,TGSRTC,3,95/251A
10073,251A/1Z,TGSRTC,3,251A/1Z
10074,71A,TGSRTC,3,71A
10075,530/251,TGSRTC,3,530/251
10076,218X,TGSRTC,3,218X
10077,AL,TGSRTC,3,AL
10078,AJ,TGSRTC,3,AJ
10079,AM,TGSRTC,3,AM
10080,AC,TGSRTC,3,AC
10081,229,TGSRTC,3,229
10082,229D,TGSRTC,3,229D
10083,227D,TGSRTC,3,227D
10084,229GD,TGSRTC,3,229GD
10085,234M,TGSRTC,3,234M
10086,8R,TGSRTC,3,8R
10087,219/229,TGSRTC,3,219/229
10088,47L,TGSRTC,3,47L
10089,212/568,TGSRTC,3,212/568
10090,113Z/IM,TGSRTC,3,113Z/IM
10091,113K/L Z,TGSRTC,3,113K/L Z
10092,229JY,TGSRTC,3,229JY
10093,229J,TGSRTC,3,229J
10094,495MKM,TGSRTC,3,495MKM
10095,5K/M,TGSRTC,3,5K/M
10096,229B,TGSRTC,3,229B
10097,EXCG-27,TGSRTC,3,EXCG-27
10098,219,TGSRTC,3,219
10099,279WK,TGSRTC,3,279WK
10100,229S,TGSRTC,3,229S
10101,183X,TGSRTC,3,183X
10102,189M/272G,TGSRTC,3,189M/272G
10103,171SM,TGSRTC,3,171SM
10104,219/272G,TGSRTC,3,219/272G
10105,272J,TGSRTC,3,272J
10106,219/22G,TGSRTC,3,219/22G
10107,113Y/H,TGSRTC,3,113Y/H
10108,272G,TGSRTC,3,272G
10109,227,TGSRTC,3,227
10110,29B/272G,TGSRTC,3,29B/272G
10111,29B,TGSRTC,3,29B
10112,113Z/K,TGSRTC,3,113Z/K
10113,589,TGSRTC,3,589
10114,230AB,TGSRTC,3,230AB
10115,29B/272J,TGSRTC,3,29B/272J
10116,3K/281,TGSRTC,3,3K/281
10117,281,TGSRTC,3,281
10118,230P,TGSRTC,3,230P
10119,230A,TGSRTC,3,230A
10120,29,TGSRTC,3,29
10121,272,TGSRTC,3,272
10122,198,TGSRTC,3,198
10123,198/224,TGSRTC,3,198/224
10124,224G,TGSRTC,3,224G
10125,224/219,TGSRTC,3,224/219
10126,589T,TGSRTC,3,589T
10127,G-31,TGSRTC,3,G-31
10128,589PT,TGSRTC,3,589PT
10129,G-34,TGSRTC,3,G-34
10130,9K/272G,TGSRTC,3,9K/272G
10131,9K/230,TGSRTC,3,9K/230
10132,171K,TGSRTC,3,171K
10133,224G/219,TGSRTC,3,224G/219
10134,9X/272G,TGSRTC,3,9X/272G
10135,9X/22G,TGSRTC,3,9X/22G
10136,9X/283C,TGSRTC,3,9X/283C
10137,9X/27G,TGSRTC,3,9X/27G
10138,500,TGSRTC,3,500
10139,24B/281,TGSRTC,3,24B/281
10140,EXCG-63,TGSRTC,3,EXCG-63
10141,250/219,TGSRTC,3,250/219
10142,GITAM SPECIAL,TGSRTC,3,GITAM SPEC
10143,IT SPECIAL HB COLONY,TGSRTC,3,IT SPECIAL
10144,IT SPL GAR,TGSRTC,3,IT SPL GAR
10145,10K,TGSRTC,3,10K
10146,GITAM EXCL.,TGSRTC,3,GITAM EXCL
10147,5M,TGSRTC,3,5M
10148,EXCG-23,TGSRTC,3,EXCG-23
10149,10H,TGSRTC,3,10H
10150,195W,TGSRTC,3,195W
10151,10HW,TGSRTC,3,10HW
10152,195,TGSRTC,3,195
10153,195G,TGSRTC,3,195G
10154,222M,TGSRTC,3,222M
10155,224L,TGSRTC,3,224L
10156,195KG,TGSRTC,3,195KG
10157,10K/J,TGSRTC,3,10K/J
10158,211,TGSRTC,3,211
10159,211M,TGSRTC,3,211M
10160,113F/T,TGSRTC,3,113F/T
10161,19S,TGSRTC,3,19S
10162,19S/505,TGSRTC,3,19S/505
10163,113F/Z,TGSRTC,3,113F/Z
10164,30,TGSRTC,3,30
10165,219G,TGSRTC,3,219G
10166,10Y/F,TGSRTC,3,10Y/F
10167,10KM,TGSRTC,3,10KM
10168,18C/30,TGSRTC,3,18C/30
10169,224,TGSRTC,3,224
10170,22,TGSRTC,3,22
10171,24B,TGSRTC,3,24B
10172,24B/22,TGSRTC,3,24B/22
10173,113M/W,TGSRTC,3,113M/W
10174,195J,TGSRTC,3,195J
10175,219/18C,TGSRTC,3,219/18C
10176,5R,TGSRTC,3,5R
10177,25S,TGSRTC,3,25S
10178,2R,TGSRTC,3,2R
10179,8M,TGSRTC,3,8M
10180,5K/25S,TGSRTC,3,5K/25S
10181,10HL,TGSRTC,3,10HL
10182,224M/N,TGSRTC,3,224M/N
10183,113Z/L,TGSRTC,3,113Z/L
10184,113T/K,TGSRTC,3,113T/K
10185,218/277K,TGSRTC,3,218/277K
10186,22/24S,TGSRTC,3,22/24S
10187,24S/273,TGSRTC,3,24S/273
10188,24S,TGSRTC,3,24S
10189,GITAM SPL,TGSRTC,3,GITAM SPL
10190,17H/219,TGSRTC,3,17H/219
10191,30BCPT,TGSRTC,3,30BCPT
10192,16A/219,TGSRTC,3,16A/219
10193,49M/120K,TGSRTC,3,49M/120K
10194,147,TGSRTC,3,147
10195,22/24,TGSRTC,3,22/24
10196,16H/49M,TGSRTC,3,16H/49M
10197,80/217,TGSRTC,3,80/217
10198,250X,TGSRTC,3,250X
10199,18C,TGSRTC,3,18C
10200,18B,TGSRTC,3,18B
10201,250E,TGSRTC,3,250E
10202,250/49M,TGSRTC,3,250/49M
10203,50B,TGSRTC,3,50B
10204,250SS,TGSRTC,3,250SS
10205,250C/49M,TGSRTC,3,250C/49M
10206,10KM/224G,TGSRTC,3,10KM/224G
10207,219/280,TGSRTC,3,219/280
10208,25S/229,TGSRTC,3,25S/229
10209,113M/G,TGSRTC,3,113M/G
10210,216M/P,TGSRTC,3,216M/P
10211,113T/L,TGSRTC,3,113T/L
10212,24S/229,TGSRTC,3,24S/229
10213,10W,TGSRTC,3,10W
10214,SPL-WAVERPCK-TO-BALAJINAGAR,TGSRTC,3,SPL-WAVERP
10215,47D,TGSRTC,3,47D
10216,47D/224,TGSRTC,3,47D/224
10217,IT SPL GAR TO HB COLONY,TGSRTC,3,IT SPL GAR
10218,224G/229,TGSRTC,3,224G/229
10219,22/24B,TGSRTC,3,22/24B
